Row Labels,Sum of Valuation
Artificial intelligence,$377
Auto & transportation,$99
Consuer & retail,$106
Cyersecurity,$129
Data anageent & analytics,$136
E-coerce & direct-to-consuer,$426
Edtech,$100
Fintech,$882
Hardware,$99
Health,$198
Internet software & services,$595
oile & telecounications,$89
Other,$252
"Supply chain, logistics, & delivery",$177
Travel,$46
Grand Total,"$3,711"
,
,
Row Labels,Count of Industry
1919,1
1979,1
1984,1
1990,1
1991,1
1992,1
1993,1
1994,2
1995,2
1996,1
1997,1
1998,5
1999,8
2000,11
2001,9
2002,4
2003,8
2004,8
2005,14
2006,15
2007,24
2008,27
2009,34
2010,40
2011,82
2012,95
2013,87
2014,109
2015,155
2016,110
2017,74
2018,61
2019,45
2020,25
2021,11
Grand Total,1074
,
,
Row Labels,Count of Country
Artificial intelligence,84
Auto & transportation,31
Consuer & retail,25
Cyersecurity,50
Data anageent & analytics,41
E-coerce & direct-to-consuer,111
Edtech,28
Fintech,224
Hardware,34
Health,74
Internet software & services,205
oile & telecounications,38
Other,58
"Supply chain, logistics, & delivery",57
Travel,14
Grand Total,1074
Valuation,(Multiple Items)
,
Row Labels,Max of Valuation
Artificial intelligence,$180
E-coerce & direct-to-consuer,$100
Fintech,$95
Internet software & services,$40
Other,$100
Grand Total,$180
,
,
,
,
,
,
,
,
,
Row Labels,Sum of Valuation
Africa,$5
Asia,"$1,067"
Europe,$503
North Aerica,"$2,032"
Oceania,$56
South Aerica,$48
Grand Total,"$3,711"
,
,
,
,
,
,
,
,
Sum of Valuation,
"$3,711",
,
Sum of Funding,
359053,
,
,
Count of Copany,
1074,
